Alpha,Trial,Steps,Pings
0.1,1,41,16
0.1,2,542,252
0.1,3,61,19
0.1,4,27,5
0.1,5,53,11
0.1,6,49,17
0.1,7,68,19
0.1,8,17,8
0.1,9,59,36
0.1,10,131,44
0.1,11,37,12
0.1,12,33,12
0.1,13,24,14
0.1,14,64,18
0.1,15,19,11
0.1,16,130,45
0.1,17,87,25
0.1,18,76,53
0.1,19,65,36
0.1,20,214,88
0.1,21,67,19
0.1,22,3,2
0.1,23,202,49
0.1,24,37,16
0.1,25,1,1
0.1,26,53,31
0.1,27,50,14
0.1,28,143,80
0.1,29,103,48
0.1,30,88,30
0.1,31,290,101
0.1,32,129,48
0.1,33,76,44
0.1,34,67,20
0.1,35,25,16
0.1,36,22,16
0.1,37,300,129
0.1,38,62,45
0.1,39,138,55
0.1,40,391,108
0.1,41,183,22
0.1,42,31,15
0.1,43,110,55
0.1,44,338,116
0.1,45,64,27
0.1,46,289,162
0.1,47,259,69
0.1,48,182,72
0.1,49,53,8
0.1,50,221,74
0.1,51,159,49
0.1,52,51,30
0.1,53,148,79
0.1,54,83,29
0.1,55,42,15
0.1,56,69,11
0.1,57,70,21
0.1,58,168,101
0.1,59,57,15
0.1,60,53,27
0.1,61,374,138
0.1,62,43,18
0.1,63,71,17
0.1,64,169,74
0.1,65,102,17
0.1,66,57,16
0.1,67,23,12
0.1,68,69,34
0.1,69,64,10
0.1,70,34,16
0.1,71,40,20
0.1,72,40,19
0.1,73,76,30
0.1,74,54,21
0.1,75,63,34
0.1,76,67,15
0.1,77,223,114
0.1,78,207,52
0.1,79,93,35
0.1,80,100,37
0.1,81,2,1
0.1,82,219,74
0.1,83,151,90
0.1,84,95,58
0.1,85,1001,210
0.1,86,312,102
0.1,87,239,105
0.1,88,265,78
0.1,89,61,24
0.1,90,358,136
0.1,91,18,6
0.1,92,15,9
0.1,93,29,12
0.1,94,81,16
0.1,95,110,39
0.1,96,44,19
0.1,97,111,30
0.1,98,37,24
0.1,99,6,3
0.1,100,90,24
0.2,1,251,34
0.2,2,100,5
0.2,3,48,13
0.2,4,46,9
0.2,5,174,28
0.2,6,84,20
0.2,7,73,3
0.2,8,469,64
0.2,9,119,43
0.2,10,70,6
0.2,11,115,20
0.2,12,38,11
0.2,13,52,7
0.2,14,22,10
0.2,15,121,14
0.2,16,87,14
0.2,17,72,8
0.2,18,55,10
0.2,19,332,23
0.2,20,108,34
0.2,21,29,9
0.2,22,307,66
0.2,23,184,62
0.2,24,191,52
0.2,25,116,12
0.2,26,23,7
0.2,27,152,23
0.2,28,92,24
0.2,29,56,9
0.2,30,52,15
0.2,31,192,42
0.2,32,59,14
0.2,33,23,10
0.2,34,16,6
0.2,35,45,10
0.2,36,139,14
0.2,37,35,7
0.2,38,82,6
0.2,39,45,4
0.2,40,30,5
0.2,41,518,77
0.2,42,4,4
0.2,43,93,15
0.2,44,55,9
0.2,45,221,29
0.2,46,80,21
0.2,47,36,8
0.2,48,147,43
0.2,49,150,40
0.2,50,76,4
0.2,51,283,25
0.2,52,98,21
0.2,53,44,7
0.2,54,34,19
0.2,55,96,34
0.2,56,7,5
0.2,57,71,19
0.2,58,83,12
0.2,59,85,4
0.2,60,76,15
0.2,61,84,4
0.2,62,121,27
0.2,63,22,3
0.2,64,106,12
0.2,65,37,8
0.2,66,111,8
0.2,67,77,26
0.2,68,39,9
0.2,69,48,13
0.2,70,151,15
0.2,71,166,32
0.2,72,111,17
0.2,73,35,11
0.2,74,162,22
0.2,75,80,7
0.2,76,155,6
0.2,77,40,9
