Alpha,Trial,Steps,Pings
0.0,1,43,43
0.0,2,101,101
0.0,3,101,101
0.0,4,101,101
0.0,5,97,97
0.0,6,99,99
0.0,7,101,101
0.0,8,101,101
0.0,9,101,101
0.0,10,101,101
0.0,11,101,101
0.0,12,101,101
0.0,13,26,26
0.0,14,101,101
0.0,15,101,101
0.0,16,101,101
0.0,17,101,101
0.0,18,101,101
0.0,19,2,2
0.0,20,101,101
0.0,21,101,101
0.0,22,101,101
0.0,23,101,101
0.0,24,101,101
0.0,25,101,101
0.0,26,101,101
0.0,27,101,101
0.0,28,101,101
0.0,29,101,101
0.0,30,101,101
0.0,31,101,101
0.0,32,101,101
0.0,33,101,101
0.0,34,101,101
0.0,35,101,101
0.0,36,101,101
0.0,37,101,101
0.0,38,101,101
0.0,39,101,101
0.0,40,101,101
0.0,41,101,101
0.0,42,101,101
0.0,43,101,101
0.0,44,101,101
0.0,45,101,101
0.0,46,101,101
0.0,47,101,101
0.0,48,64,64
0.0,49,101,101
0.0,50,101,101
0.0,51,101,101
0.0,52,101,101
0.0,53,17,17
0.0,54,101,101
0.0,55,55,55
0.0,56,101,101
0.0,57,101,101
0.0,58,101,101
0.0,59,101,101
0.0,60,101,101
0.0,61,101,101
0.0,62,101,101
0.0,63,101,101
0.0,64,101,101
0.0,65,101,101
0.0,66,101,101
0.0,67,101,101
0.0,68,101,101
0.0,69,101,101
0.0,70,101,101
0.0,71,101,101
0.0,72,101,101
0.0,73,101,101
0.0,74,91,91
0.0,75,101,101
0.0,76,101,101
0.0,77,101,101
0.0,78,101,101
0.0,79,101,101
0.0,80,84,84
0.0,81,101,101
0.0,82,101,101
0.0,83,101,101
0.0,84,101,101
0.0,85,101,101
0.0,86,101,101
0.0,87,101,101
0.0,88,101,101
0.0,89,101,101
0.0,90,54,54
0.0,91,101,101
0.0,92,101,101
0.0,93,101,101
0.0,94,101,101
0.0,95,101,101
0.0,96,101,101
0.0,97,101,101
0.0,98,101,101
0.0,99,101,101
0.0,100,101,101
0.05,1,101,36
0.05,2,101,32
0.05,3,101,23
0.05,4,76,31
0.05,5,101,38
0.05,6,101,71
0.05,7,101,64
0.05,8,101,39
0.05,9,59,46
0.05,10,101,42
0.05,11,1,1
0.05,12,101,41
0.05,13,89,30
0.05,14,1,1
0.05,15,71,41
0.05,16,101,38
0.05,17,101,64
0.05,18,101,63
0.05,19,101,34
0.05,20,101,42
0.05,21,101,38
0.05,22,101,52
0.05,23,65,35
0.05,24,101,37
0.05,25,101,37
0.05,26,60,42
0.05,27,101,39
0.05,28,31,16
0.05,29,101,48
0.05,30,46,31
0.05,31,68,27
0.05,32,55,42
0.05,33,101,33
0.05,34,101,31
0.05,35,83,39
0.05,36,101,52
0.05,37,57,36
0.05,38,101,42
0.05,39,101,34
0.05,40,61,19
0.05,41,101,35
0.05,42,101,63
0.05,43,101,42
0.05,44,101,43
0.05,45,96,39
0.05,46,101,43
0.05,47,101,41
0.05,48,101,32
0.05,49,76,29
0.05,50,101,71
0.05,51,101,61
0.05,52,101,36
0.05,53,85,64
0.05,54,101,62
0.05,55,60,39
0.05,56,101,30
0.05,57,101,44
0.05,58,101,20
0.05,59,101,67
0.05,60,101,40
0.05,61,86,40
0.05,62,101,61
0.05,63,83,33
0.05,64,101,34
0.05,65,101,46
0.05,66,101,53
0.05,67,101,36
0.05,68,101,35
0.05,69,101,59
0.05,70,101,46
0.05,71,101,28
0.05,72,99,42
0.05,73,101,32
0.05,74,20,17
0.05,75,101,58
0.05,76,32,13
0.05,77,101,40
0.05,78,101,26
0.05,79,47,23
0.05,80,86,29
0.05,81,101,57
0.05,82,101,56
0.05,83,101,67
0.05,84,31,28
0.05,85,101,34
0.05,86,101,59
0.05,87,101,38
0.05,88,101,58
0.05,89,101,29
0.05,90,44,20
0.05,91,101,57
0.05,92,101,46
0.05,93,101,64
0.05,94,69,36
0.05,95,52,23
0.05,96,33,21
0.05,97,89,68
0.05,98,101,33
0.05,99,101,50
0.05,100,101,67
0.1,1,101,31
0.1,2,101,29
0.1,3,50,21
0.1,4,57,19
0.1,5,101,23
0.1,6,48,18
0.1,7,90,23
0.1,8,17,7
0.1,9,101,9
0.1,10,101,21
0.1,11,101,27
0.1,12,44,23
0.1,13,64,15
0.1,14,63,21
0.1,15,9,6
0.1,16,101,26
0.1,17,101,25
0.1,18,101,15
0.1,19,77,19
0.1,20,101,18
0.1,21,101,25
0.1,22,95,27
0.1,23,68,15
0.1,24,101,16
0.1,25,101,29
0.1,26,101,11
0.1,27,101,42
0.1,28,42,27
0.1,29,101,23
0.1,30,101,23
0.1,31,88,45
0.1,32,26,10
0.1,33,56,13
0.1,34,1,1
0.1,35,30,13
0.1,36,18,11
0.1,37,75,29
0.1,38,101,11
0.1,39,101,46
0.1,40,101,14
0.1,41,32,16
0.1,42,101,51
0.1,43,12,7
0.1,44,101,42
0.1,45,101,13
0.1,46,101,44
0.1,47,101,28
0.1,48,101,34
0.1,49,101,20
0.1,50,78,12
0.1,51,101,26
0.1,52,101,13
0.1,53,101,22
0.1,54,61,33
0.1,55,101,17
0.1,56,80,22
0.1,57,8,4
0.1,58,23,14
0.1,59,101,23
0.1,60,101,27
0.1,61,92,16
0.1,62,39,14
0.1,63,62,14
0.1,64,101,36
0.1,65,101,32
0.1,66,81,11
0.1,67,101,22
0.1,68,101,27
0.1,69,101,30
0.1,70,101,15
0.1,71,101,40
0.1,72,101,25
0.1,73,16,10
0.1,74,101,50
